B11,B12,Clay_CMR,Elevation,Iron_Oxide,Label,NDSI,NDVI,NDWI,Site
4026.25,3418.6666666666665,1.1777252340093605,3902,1.6300868149755834,1,-0.2504367530345917,0.11571434140205383,-0.2219535857439041,"Salar de Olaroz, ARG"
4133.333333333333,3671.1,1.1259113980369189,4628,1.8447563996696945,1,-0.36865341663360596,0.0960954874753952,-0.23773987591266632,"Zabuye Lake, China"
4833.666666666667,4668.5,1.0353789582663955,2770,1.6382498872350022,1,-0.2347056120634079,0.03752385079860687,-0.13300150632858276,"Taijinar Lake, China"
2559.083333333333,1786.6666666666667,1.4323227611940297,3852,1.844678811121764,1,-0.5460948348045349,0.21003134548664093,-0.3573658764362335,"Jiajika, China"
2152.5,1331.0,1.617205108940646,36,2.2261146496815285,1,-0.6567250490188599,0.5952649116516113,-0.644951581954956,"Finniss, Australia"
1976.5,1251.6666666666667,1.5790945406125165,172,1.7685185185185186,1,-0.593630313873291,0.5479289889335632,-0.5912408828735352,"Mt Cattlin, Australia"
3653.6666666666665,3317.6666666666665,1.1012759971867778,340,3.537771645394964,1,-0.6344150304794312,0.15421408414840698,-0.48109737038612366,"Bald Hill, Australia"
1790.5,1148.0,1.5596689895470384,313,2.0697674418604652,1,-0.6221970319747925,0.5500680804252625,-0.6539419293403625,"Sigma, Canada"
1554.0,768.5,2.022121014964216,306,1.176158940397351,1,-0.44423791766166687,0.7208424806594849,-0.6413792967796326,"Whabouchi, Canada"
557.0,298.3333333333333,1.8670391061452516,353,1.253184545741657,1,-0.32010072469711304,0.5301794409751892,-0.5258210301399231,"Moblan, Canada"
2017.3333333333335,1067.0,1.8906591690096846,979,1.5174337517433751,1,-0.6947159171104431,0.8063539862632751,-0.7494354844093323,"Mina do Barroso, Portugal"
1984.5,1136.5,1.7461504619445667,1060,1.7100213219616205,1,-0.6638021469116211,0.6384130120277405,-0.6384130120277405,"Sepeda, Portugal"
3240.6666666666665,2041.0,1.587783766127715,439,2.006755843804891,1,-0.5728846192359924,0.35599687695503235,-0.49512335658073425,"San Jose, Spain"
772.5,432.0,1.7881944444444444,1207,1.7556818181818181,1,-0.4392175078392029,0.601675808429718,-0.6099773049354553,"Wolfsberg, Austria"
1601.5,701.0,2.2845934379457917,625,1.1045364891518739,1,-0.6131956577301025,0.7949844598770142,-0.729148268699646,"Cinovec, Czech Republic"
1123.0,568.5,1.9753737906772209,837,1.711892797319933,1,-0.41169077157974243,0.6289708018302917,-0.6548036336898804,"Zinnwald, Germany"
1861.0,1048.0,1.775763358778626,41,1.565217391304348,1,-0.5229132771492004,0.5379679203033447,-0.5744525790214539,"Ewoyaa, Ghana"
3200.0,2272.0,1.408450704225352,346,2.123310810810811,1,-0.5667074918746948,0.3760238289833069,-0.5159966945648193,"Goulamina, Mali"
3547.0,2406.0,1.474231088944306,351,2.100828729281768,1,-0.5455337762832642,0.3519386351108551,-0.5052182078361511,"Bougouni, Mali"
